"";"genes"
"Gm28277";"Gm28277"
"Nav1";"Nav1"
"Gm4793";"Gm4793"
"Csrp1";"Csrp1"
"Phlda3";"Phlda3"
"Tmem9";"Tmem9"
"Cacna1s";"Cacna1s"
"Gm37759";"Gm37759"
"Gm15850";"Gm15850"
"Kif21b";"Kif21b"
"Gm26781";"Gm26781"
"Camsap2";"Camsap2"
"9230116N13Rik";"9230116N13Rik"
"Ddx59";"Ddx59"
"Kif14";"Kif14"
"Gm33994";"Gm33994"
"Zfp281";"Zfp281"
"Gm19705";"Gm19705"
"Platr22";"Platr22"
"Nr5a2";"Nr5a2"
"Gm4258";"Gm4258"
"Gm26979";"Gm26979"
"Gm26936";"Gm26936"
"Gm26930";"Gm26930"
"A430106G13Rik";"A430106G13Rik"
"Ptprc";"Ptprc"
"Nek7";"Nek7"
"Gm28501";"Gm28501"
"Gm5833";"Gm5833"
"2310009B15Rik";"2310009B15Rik"
"Dennd1b";"Dennd1b"
"Crb1";"Crb1"
"Zbtb41";"Zbtb41"
"Aspm";"Aspm"
"Gm4788";"Gm4788"
"Cfhr2";"Cfhr2"
"Cfh";"Cfh"
"Kcnt2";"Kcnt2"
"4930590L20Rik";"4930590L20Rik"
"Cdc73";"Cdc73"
"B3galt2";"B3galt2"
"Glrx2";"Glrx2"
"Ro60";"Ro60"
"Uchl5";"Uchl5"
"Gm29170";"Gm29170"
"Rgs2";"Rgs2"
"Rgs1";"Rgs1"
"Rgs18";"Rgs18"
"Brinp3";"Brinp3"
"A230059L01Rik";"A230059L01Rik"
"Pla2g4a";"Pla2g4a"
"Ptgs2";"Ptgs2"
"Ptgs2os2";"Ptgs2os2"
"2310030A07Rik";"2310030A07Rik"
"Odr4";"Odr4"
"Tpr";"Tpr"
"Prg4";"Prg4"
"Hmcn1";"Hmcn1"
"Gm10138";"Gm10138"
"Ivns1abp";"Ivns1abp"
"Swt1";"Swt1"
"Trmt1l";"Trmt1l"
"Rnf2";"Rnf2"
"Fam129a";"Fam129a"
"2810414N06Rik";"2810414N06Rik"
"Edem3";"Edem3"
"1700025G04Rik";"1700025G04Rik"
"Tsen15";"Tsen15"
"Colgalt2";"Colgalt2"
"Rgl1";"Rgl1"
"Apobec4";"Apobec4"
"Arpc5";"Arpc5"
"Ncf2";"Ncf2"
"Smg7";"Smg7"
"Gm28791";"Gm28791"
"Nmnat2";"Nmnat2"
"Lamc1";"Lamc1"
"E330020D12Rik";"E330020D12Rik"
"Shcbp1l";"Shcbp1l"
"Dhx9";"Dhx9"
"Npl";"Npl"
"C230024C17Rik";"C230024C17Rik"
"Rgs16";"Rgs16"
"Gm28513";"Gm28513"
"Rnasel";"Rnasel"
"Rgsl1";"Rgsl1"
"Teddm2";"Teddm2"
"Glul";"Glul"
"Gm29291";"Gm29291"
"Gm28286";"Gm28286"
"A830008E24Rik";"A830008E24Rik"
"Cacna1e";"Cacna1e"
"Gm29282";"Gm29282"
"Gm9530";"Gm9530"
"Ier5";"Ier5"
"Mr1";"Mr1"
"Stx6";"Stx6"
"Xpr1";"Xpr1"
"Gm5532";"Gm5532"
"Acbd6";"Acbd6"
"Qsox1";"Qsox1"
"Gm37571";"Gm37571"
"Cep350";"Cep350"
"Tor1aip1";"Tor1aip1"
"Tor1aip2";"Tor1aip2"
"Axdnd1";"Axdnd1"
"Gm2000";"Gm2000"
"Soat1";"Soat1"
"Abl2";"Abl2"
"Tor3a";"Tor3a"
"Fam20b";"Fam20b"
"Ralgps2";"Ralgps2"
"Angptl1";"Angptl1"
"4930439D14Rik";"4930439D14Rik"
"Gm28694";"Gm28694"
"Rasal2";"Rasal2"
"Cryzl2";"Cryzl2"
"Sec16b";"Sec16b"
"Brinp2";"Brinp2"
"Pappa2";"Pappa2"
"Cop1";"Cop1"
"4930523C07Rik";"4930523C07Rik"
"Mrps14";"Mrps14"
"Cacybp";"Cacybp"
"Rabgap1l";"Rabgap1l"
"Gm36975";"Gm36975"
"Gm37529";"Gm37529"
"Gpr52";"Gpr52"
"Gm37328";"Gm37328"
"Rc3h1";"Rc3h1"
"Serpinc1";"Serpinc1"
"Zbtb37";"Zbtb37"
"Gm37362";"Gm37362"
"Gas5";"Gas5"
"Dars2";"Dars2"
"Cenpl";"Cenpl"
"Klhl20";"Klhl20"
"Prdx6";"Prdx6"
"Tnfsf18";"Tnfsf18"
"Suco";"Suco"
"4930558K02Rik";"4930558K02Rik"
"Pigc";"Pigc"
"Gm38304";"Gm38304"
"Dnm3";"Dnm3"
"2810442N19Rik";"2810442N19Rik"
"Eef1aknmt";"Eef1aknmt"
"Vamp4";"Vamp4"
"Myoc";"Myoc"
"Prrc2c";"Prrc2c"
"Fmo1";"Fmo1"
"Gorab";"Gorab"
"Kifap3";"Kifap3"
"Scyl3";"Scyl3"
"BC055324";"BC055324"
"Mettl18";"Mettl18"
"Slc19a2";"Slc19a2"
"Ccdc181";"Ccdc181"
"Blzf1";"Blzf1"
"Nme7";"Nme7"
"Atp1b1";"Atp1b1"
"Tbx19";"Tbx19"
"Sft2d2";"Sft2d2"
"Tiprl";"Tiprl"
"Gm38190";"Gm38190"
"Gpr161";"Gpr161"
"Dcaf6";"Dcaf6"
"Gm37864";"Gm37864"
"Mpc2";"Mpc2"
"Adcy10";"Adcy10"
"Mpzl1";"Mpzl1"
"Rcsd1";"Rcsd1"
"Gm37073";"Gm37073"
"Creg1";"Creg1"
"Gm16565";"Gm16565"
"Cd247";"Cd247"
"Pou2f1";"Pou2f1"
"Dusp27";"Dusp27"
"Gpa33";"Gpa33"
"Ildr2";"Ildr2"
"5330438I03Rik";"5330438I03Rik"
"Gm15853";"Gm15853"
"Tada1";"Tada1"
"Pogk";"Pogk"
"Gm16701.1";"Gm16701.1"
"Fam78b";"Fam78b"
"Uck2";"Uck2"
"Gm37982";"Gm37982"
"Tmco1";"Tmco1"
"Aldh9a1";"Aldh9a1"
"Mgst3";"Mgst3"
"Lrrc52";"Lrrc52"
"Rxrg";"Rxrg"
"Lmx1a";"Lmx1a"
"Pbx1";"Pbx1"
"Nuf2";"Nuf2"
"Hsd17b7";"Hsd17b7"
"3110045C21Rik";"3110045C21Rik"
"Ddr2";"Ddr2"
"Uap1";"Uap1"
"Uhmk1";"Uhmk1"
"Sh2d1b1";"Sh2d1b1"
"Gm7694";"Gm7694"
"Nos1ap";"Nos1ap"
"Spata46";"Spata46"
"Olfml2b";"Olfml2b"
"Atf6";"Atf6"
"Gm9929";"Gm9929"
"Dusp12";"Dusp12"
"Gm26620";"Gm26620"
"Fcrlb";"Fcrlb"
"Fcrla";"Fcrla"
"Fcgr2b";"Fcgr2b"
"Gm38204";"Gm38204"
"Gm10522";"Gm10522"
"Fcgr4";"Fcgr4"
"Fcgr3";"Fcgr3"
"Cfap126";"Cfap126"
"Sdhc";"Sdhc"
"Mpz";"Mpz"
"Pcp4l1";"Pcp4l1"
"Nr1i3";"Nr1i3"
"Tomm40l";"Tomm40l"
"Apoa2";"Apoa2"
"Fcer1g";"Fcer1g"
"Ndufs2";"Ndufs2"
"Adamts4";"Adamts4"
"B4galt3";"B4galt3"
"Ppox";"Ppox"
"Usp21";"Usp21"
"Ufc1";"Ufc1"
"Gm20045";"Gm20045"
"Dedd";"Dedd"
"Nit1";"Nit1"
"Pfdn2";"Pfdn2"
