"";"genes"
"5430425K12Rik";"5430425K12Rik"
"9330111N05Rik";"9330111N05Rik"
"Adgrv1";"Adgrv1"
"Lysmd3";"Lysmd3"
"Polr3g";"Polr3g"
"Mblac2";"Mblac2"
"Gm17259";"Gm17259"
"Cetn3";"Cetn3"
"Gm48155";"Gm48155"
"2310067P03Rik";"2310067P03Rik"
"Mef2c";"Mef2c"
"C130071C03Rik";"C130071C03Rik"
"A230107N01Rik";"A230107N01Rik"
"Tmem161b";"Tmem161b"
"Gm49223";"Gm49223"
"Ccnh";"Ccnh"
"Rasa1";"Rasa1"
"Cox7c";"Cox7c"
"Edil3";"Edil3"
"Hapln1";"Hapln1"
"Vcan";"Vcan"
"Gm4117";"Gm4117"
"Xrcc4";"Xrcc4"
"Tmem167";"Tmem167"
"Rps23";"Rps23"
"Atg10";"Atg10"
"A830009L08Rik";"A830009L08Rik"
"Ssbp2";"Ssbp2"
"4833422C13Rik";"4833422C13Rik"
"Zcchc9";"Zcchc9"
"Ckmt2";"Ckmt2"
"Rasgrf2";"Rasgrf2"
"Msh3";"Msh3"
"Gm20379";"Gm20379"
"Dhfr";"Dhfr"
"Fam151b";"Fam151b"
"Zfyve16";"Zfyve16"
"Serinc5";"Serinc5"
"Mtx3";"Mtx3"
"Cmya5";"Cmya5"
"Gm4814";"Gm4814"
"A630019I02Rik";"A630019I02Rik"
"Tent2";"Tent2"
"Homer1";"Homer1"
"Jmy";"Jmy"
"Bhmt2";"Bhmt2"
"Gm47210";"Gm47210"
"Arsb";"Arsb"
"Gm47216";"Gm47216"
"Lhfpl2";"Lhfpl2"
"Gm15907";"Gm15907"
"Scamp1";"Scamp1"
"Gm32089";"Gm32089"
"Gm48102";"Gm48102"
"Gm9776";"Gm9776"
"Ap3b1";"Ap3b1"
"Gm32305";"Gm32305"
"Gm32351";"Gm32351"
"Tbca";"Tbca"
"Wdr41";"Wdr41"
"Gm48350";"Gm48350"
"Gm48420";"Gm48420"
"Pde8b";"Pde8b"
"Zbed3";"Zbed3"
"Aggf1";"Aggf1"
"F2rl1";"F2rl1"
"F2r";"F2r"
"Iqgap2";"Iqgap2"
"AC171003.1";"AC171003.1"
"AC163685.1";"AC163685.1"
"Sv2c";"Sv2c"
"Gm20075";"Gm20075"
"Poc5";"Poc5"
"Ankdd1b";"Ankdd1b"
"Polk";"Polk"
"Col4a3bp";"Col4a3bp"
"Hmgcr";"Hmgcr"
"Ankrd31";"Ankrd31"
"Fam169a";"Fam169a"
"Gm6169";"Gm6169"
"Nsa2";"Nsa2"
"Gfm2";"Gfm2"
"Hexb";"Hexb"
"Enc1";"Enc1"
"Lncenc1";"Lncenc1"
"Gm2379";"Gm2379"
"Gm41030";"Gm41030"
"Gm5086";"Gm5086"
"Gm26619";"Gm26619"
"Gm10260";"Gm10260"
"Arhgef28";"Arhgef28"
"Utp15";"Utp15"
"Ankra2";"Ankra2"
"Gm21976";"Gm21976"
"Btf3";"Btf3"
"Gm9828";"Gm9828"
"Gm10320";"Gm10320"
"Gm9465";"Gm9465"
"Fcho2";"Fcho2"
"D130062J10Rik";"D130062J10Rik"
"Gm47551";"Gm47551"
"Tnpo1";"Tnpo1"
"Gm35279";"Gm35279"
"A930014D07Rik";"A930014D07Rik"
"Zfp366";"Zfp366"
"Ptcd2";"Ptcd2"
"Mrps27";"Mrps27"
"6430562O15Rik";"6430562O15Rik"
"Map1b";"Map1b"
"Mccc2";"Mccc2"
"Bdp1";"Bdp1"
"Serf1";"Serf1"
"Smn1";"Smn1"
"Naip2";"Naip2"
"Naip5";"Naip5"
"Naip6";"Naip6"
"Naip1";"Naip1"
"Gtf2h2";"Gtf2h2"
"Ocln";"Ocln"
"Gm48596";"Gm48596"
"Marveld2";"Marveld2"
"Rad17";"Rad17"
"Ak6";"Ak6"
"Taf9";"Taf9"
"Ccdc125";"Ccdc125"
"Cdk7";"Cdk7"
"Mrps36";"Mrps36"
"Cenph";"Cenph"
"Ccnb1";"Ccnb1"
"Slc30a5";"Slc30a5"
"Gm29502";"Gm29502"
"4932411K12Rik";"4932411K12Rik"
"Pik3r1";"Pik3r1"
"Gm29927";"Gm29927"
"Cd180";"Cd180"
"Mast4";"Mast4"
"1700099I09Rik";"1700099I09Rik"
"Gm17160";"Gm17160"
"Srek1";"Srek1"
"Erbin";"Erbin"
"Nln";"Nln"
"Sgtb";"Sgtb"
"Trappc13";"Trappc13"
"Shld3";"Shld3"
"Trim23";"Trim23"
"Ppwd1";"Ppwd1"
"Cenpk";"Cenpk"
"Adamts6";"Adamts6"
"Cwc27";"Cwc27"
"2610204G07Rik";"2610204G07Rik"
"Srek1ip1";"Srek1ip1"
"Rgs7bp";"Rgs7bp"
"Rnf180";"Rnf180"
"Gm30411";"Gm30411"
"Gm28989";"Gm28989"
"Ipo11";"Ipo11"
"Gm28988";"Gm28988"
"Dimt1";"Dimt1"
"Kif2a";"Kif2a"
"3830408C21Rik";"3830408C21Rik"
"Zswim6";"Zswim6"
"B230220B15Rik";"B230220B15Rik"
"Ndufaf2";"Ndufaf2"
"Smim15";"Smim15"
"Ercc8";"Ercc8"
"Elovl7";"Elovl7"
"Gm2822";"Gm2822"
"Depdc1b";"Depdc1b"
"Pde4d";"Pde4d"
"Rab3c";"Rab3c"
"Gapt";"Gapt"
"Plk2";"Plk2"
"Gpbp1";"Gpbp1"
"Gm15286";"Gm15286"
"Mier3";"Mier3"
"Map3k1";"Map3k1"
"Gm15327";"Gm15327"
"Gm15326";"Gm15326"
"Ankrd55";"Ankrd55"
"Gm48837";"Gm48837"
"2810403G07Rik";"2810403G07Rik"
"Gm48876";"Gm48876"
"Gm48879";"Gm48879"
"Il6st";"Il6st"
"Il31ra";"Il31ra"
"Ddx4";"Ddx4"
"Slc38a9";"Slc38a9"
"Gm47827";"Gm47827"
"Plpp1";"Plpp1"
"Mtrex";"Mtrex"
"Dhx29";"Dhx29"
"BC067074";"BC067074"
"Gm41071";"Gm41071"
"4921509O07Rik";"4921509O07Rik"
"Gm34471";"Gm34471"
"Snx18";"Snx18"
"Hspb3";"Hspb3"
"Gm34586";"Gm34586"
"Arl15";"Arl15"
"A430090L17Rik";"A430090L17Rik"
"Ndufs4";"Ndufs4"
"Mocs2";"Mocs2"
"Itga2";"Itga2"
"Itga1";"Itga1"
"Pelo";"Pelo"
"Gm10734";"Gm10734"
"Parp8";"Parp8"
"Emb";"Emb"
"Hcn1";"Hcn1"
"Mrps30";"Mrps30"
"Nnt";"Nnt"
"Paip1";"Paip1"
"4833420G17Rik";"4833420G17Rik"
"Gm9752";"Gm9752"
"3110070M22Rik";"3110070M22Rik"
"Tmem267";"Tmem267"
"Ccl28";"Ccl28"
"Hmgcs1";"Hmgcs1"
"Gm48342";"Gm48342"
"Nim1k";"Nim1k"
"Gm41077";"Gm41077"
"Zfp131";"Zfp131"
"Gm21761";"Gm21761"
"Gm36161";"Gm36161"
"Gm21188";"Gm21188"
"BC147527";"BC147527"
"Gm2897";"Gm2897"
"Gm17188";"Gm17188"
"Gm5795";"Gm5795"
"D830030K20Rik";"D830030K20Rik"
"1700110I01Rik";"1700110I01Rik"
"Gm2956";"Gm2956"
"Gm3005";"Gm3005"
"Gm3020";"Gm3020"
"Gm3002";"Gm3002"
"Gm26886";"Gm26886"
"Gm2916";"Gm2916"
"Gm5796";"Gm5796"
"Gm8108";"Gm8108"
"Gm2974";"Gm2974"
"2610042L04Rik";"2610042L04Rik"
"Gm3164";"Gm3164"
"Gm3173";"Gm3173"
"Gm26655";"Gm26655"
"Gm8159";"Gm8159"
"Gm3239";"Gm3239"
"Gm3252";"Gm3252"
"Gm3269";"Gm3269"
"Gm3264";"Gm3264"
"Gm26650";"Gm26650"
"Gm3278";"Gm3278"
"Gm8281";"Gm8281"
"Gm3526";"Gm3526"
"Gm3194";"Gm3194"
"Gm3488";"Gm3488"
"Gm3383";"Gm3383"
"Gm8237";"Gm8237"
"Gm3248";"Gm3248"
"Gm8206";"Gm8206"
"Gm3468";"Gm3468"
"Gm3411";"Gm3411"
"Gm21103";"Gm21103"
"Gm26630";"Gm26630"
"Gm3591";"Gm3591"
"Gm3629";"Gm3629"
"Gm3460";"Gm3460"
"Gm10251";"Gm10251"
"Gm26680";"Gm26680"
"Gm8050";"Gm8050"
"Gm3636";"Gm3636"
"Gm8362";"Gm8362"
"Gm3667";"Gm3667"
"Gm10406";"Gm10406"
"Gm3696";"Gm3696"
"Gm3512";"Gm3512"
"Gm3739";"Gm3739"
"Gm10339";"Gm10339"
"4933406F09Rik";"4933406F09Rik"
"Gm3752";"Gm3752"
"Gm3558";"Gm3558"
"Gm10128";"Gm10128"
"Flnb";"Flnb"
"Dnase1l3";"Dnase1l3"
"Abhd6";"Abhd6"
"Rpp14";"Rpp14"
"Pxk";"Pxk"
"Pdhb";"Pdhb"
"Kctd6";"Kctd6"
"Fam107a";"Fam107a"
"Fhit";"Fhit"
"Gm48439";"Gm48439"
"Fhitos";"Fhitos"
"Gm3839";"Gm3839"
"Ptprg";"Ptprg"
"Gm3848";"Gm3848"
"3830406C13Rik";"3830406C13Rik"
"D030051J21Rik";"D030051J21Rik"
"Cadps";"Cadps"
"Synpr";"Synpr"
"Gm11100";"Gm11100"
"Thoc7";"Thoc7"
"Atxn7";"Atxn7"
"Psmd6";"Psmd6"
"Gm48857";"Gm48857"
"Gm48860";"Gm48860"
"Il3ra";"Il3ra"
"Slc4a7";"Slc4a7"
"Nek10";"Nek10"
"Gm47782";"Gm47782"
"Oxsm";"Oxsm"
"Gm47794";"Gm47794"
"Ngly1";"Ngly1"
"5430414B19Rik";"5430414B19Rik"
"Gm47798";"Gm47798"
"Gm48163";"Gm48163"
"Top2b";"Top2b"
"Rarb";"Rarb"
"Thrb";"Thrb"
"Gm48321";"Gm48321"
"Nr1d2";"Nr1d2"
"Rpl15";"Rpl15"
"Nkiras1";"Nkiras1"
"Ube2e1";"Ube2e1"
"Ube2e2";"Ube2e2"
"Gm48099";"Gm48099"
"Gm21738";"Gm21738"
"Gm2244";"Gm2244"
"Gm2237";"Gm2237"
"Gm5458";"Gm5458"
"Nid2";"Nid2"
"Rtraf";"Rtraf"
"Gm48283";"Gm48283"
"Gng2";"Gng2"
"Saysd1";"Saysd1"
"Nudt13";"Nudt13"
"Ecd";"Ecd"
"Fam149b";"Fam149b"
"Gm30054";"Gm30054"
"Dnajc9";"Dnajc9"
"Mrps16";"Mrps16"
"Cfap70";"Cfap70"
"Anxa7";"Anxa7"
"Mss51";"Mss51"
"Ppp3cb";"Ppp3cb"
"1810062O18Rik";"1810062O18Rik"
"Usp54";"Usp54"
"2810402E24Rik";"2810402E24Rik"
"Myoz1";"Myoz1"
"Sec24c";"Sec24c"
"6230400D17Rik";"6230400D17Rik"
"Fut11";"Fut11"
"Chchd1";"Chchd1"
"Zswim8";"Zswim8"
"Ndst2";"Ndst2"
"Camk2g";"Camk2g"
"Gm30108";"Gm30108"
"Plau";"Plau"
"Vcl";"Vcl"
"Ap3m1";"Ap3m1"
"Adk";"Adk"
"Gm30363";"Gm30363"
"Kat6b";"Kat6b"
"Dupd1";"Dupd1"
"Dusp13";"Dusp13"
"Samd8";"Samd8"
"Vdac2";"Vdac2"
"Comtd1";"Comtd1"
"A430057M04Rik";"A430057M04Rik"
"4931407E12Rik";"4931407E12Rik"
"Zfp503";"Zfp503"
"Lrmda";"Lrmda"
"Gm7480";"Gm7480"
"4930405A10Rik";"4930405A10Rik"
"Gm47601";"Gm47601"
"Gm10248";"Gm10248"
"Kcnma1";"Kcnma1"
"Gm29626";"Gm29626"
"4930519K11Rik";"4930519K11Rik"
"AC163638.2";"AC163638.2"
"Dlg5";"Dlg5"
"Gm47814";"Gm47814"
"Polr3a";"Polr3a"
"Rps24";"Rps24"
"Zmiz1os1";"Zmiz1os1"
"Gm26660";"Gm26660"
"Gm17747";"Gm17747"
"Zmiz1";"Zmiz1"
"Gm47920";"Gm47920"
"Ppif";"Ppif"
"Zcchc24";"Zcchc24"
"Anxa11";"Anxa11"
"Anxa11os";"Anxa11os"
"Tmem254a";"Tmem254a"
"4933413J09Rik";"4933413J09Rik"
"Slmap";"Slmap"
"Dennd6a";"Dennd6a"
"Arf4os";"Arf4os"
"Arf4";"Arf4"
"Pde12";"Pde12"
"9930004E17Rik";"9930004E17Rik"
"Dnah12";"Dnah12"
"Asb14";"Asb14"
"Appl1";"Appl1"
"Hesx1";"Hesx1"
"Il17rd";"Il17rd"
"Arhgef3";"Arhgef3"
"Tasor";"Tasor"
"Ccdc66";"Ccdc66"
"Erc2";"Erc2"
"Cacna2d3";"Cacna2d3"
"Gm47414";"Gm47414"
"Selenok";"Selenok"
"Actr8";"Actr8"
"Il17rb";"Il17rb"
"Chdh";"Chdh"
"Cacna1d";"Cacna1d"
"CT009536.1";"CT009536.1"
"Dcp1a";"Dcp1a"
"Tkt";"Tkt"
"Prkcd";"Prkcd"
"Gm7644";"Gm7644"
"Rft1";"Rft1"
"Sfmbt1";"Sfmbt1"
"1700087M22Rik";"1700087M22Rik"
"Stimate";"Stimate"
"Mustn1";"Mustn1"
"Nek4";"Nek4"
"Spcs1";"Spcs1"
"Glt8d1";"Glt8d1"
"Gnl3";"Gnl3"
"Pbrm1";"Pbrm1"
"Smim4";"Smim4"
"Nt5dc2";"Nt5dc2"
"Stab1";"Stab1"
"Nisch";"Nisch"
"Tnnc1";"Tnnc1"
"Phf7";"Phf7"
"Bap1";"Bap1"
"Dnah1";"Dnah1"
"Capn7";"Capn7"
"Sh3bp5";"Sh3bp5"
"Mettl6";"Mettl6"
"Eaf1";"Eaf1"
"Hacl1";"Hacl1"
"Btd";"Btd"
"Ankrd28";"Ankrd28"
"Dph3";"Dph3"
"Oxnad1";"Oxnad1"
"Ncoa4";"Ncoa4"
"Timm23";"Timm23"
"Parg";"Parg"
"Gm46447";"Gm46447"
"Gm48914";"Gm48914"
"Ogdhl";"Ogdhl"
"Ercc6";"Ercc6"
"3425401B19Rik";"3425401B19Rik"
"Gm28651";"Gm28651"
"Tmem273";"Tmem273"
"Vstm4";"Vstm4"
"Wdfy4";"Wdfy4"
"Lrrc18";"Lrrc18"
"Arhgap22";"Arhgap22"
"Gm49030";"Gm49030"
"Gm15512";"Gm15512"
"Mapk8";"Mapk8"
"Syt15";"Syt15"
"Gm49201";"Gm49201"
"Shld2";"Shld2"
"Glud1";"Glud1"
"Mmrn2";"Mmrn2"
"Bmpr1a";"Bmpr1a"
"Gm17110";"Gm17110"
"Ldb3";"Ldb3"
"Gm49025";"Gm49025"
"5830448L01Rik";"5830448L01Rik"
"Wapl";"Wapl"
"Gm49032";"Gm49032"
"Grid1";"Grid1"
"Ccser2";"Ccser2"
"Cdhr1";"Cdhr1"
"2610528A11Rik";"2610528A11Rik"
"Ghitm";"Ghitm"
"Nrg3";"Nrg3"
"Sh2d4b";"Sh2d4b"
"Tspan14";"Tspan14"
"Prxl2a";"Prxl2a"
"Gm47547";"Gm47547"
"Gm21154";"Gm21154"
"Gm7324";"Gm7324"
"Gm49965";"Gm49965"
"Gm49083";"Gm49083"
"Ear1";"Ear1"
"Gm8113";"Gm8113"
"Ear2";"Ear2"
"Gm32857";"Gm32857"
"AC160336.1";"AC160336.1"
"Gm17173";"Gm17173"
"Ptger2";"Ptger2"
"Txndc16";"Txndc16"
"Gpr137c";"Gpr137c"
"Gm49194";"Gm49194"
"Ero1l";"Ero1l"
"Psmc6";"Psmc6"
"Styx";"Styx"
"Gnpnat1";"Gnpnat1"
"Fermt2";"Fermt2"
"Gm15601";"Gm15601"
"Ddhd1";"Ddhd1"
"A530076I17Rik";"A530076I17Rik"
"Gm15218";"Gm15218"
"Cdkn3";"Cdkn3"
"Cnih1";"Cnih1"
"Gm48933";"Gm48933"
"Gmfb";"Gmfb"
"Gm10101";"Gm10101"
"Cgrrf1";"Cgrrf1"
"Gm48949";"Gm48949"
"Gm34934";"Gm34934"
"Samd4";"Samd4"
"2810457G06Rik";"2810457G06Rik"
"Gm10371";"Gm10371"
"Gch1";"Gch1"
"Wdhd1";"Wdhd1"
"Socs4";"Socs4"
"Mapk1ip1l";"Mapk1ip1l"
"Gm49189";"Gm49189"
"Lgals3";"Lgals3"
"Dlgap5";"Dlgap5"
"Fbxo34";"Fbxo34"
"Gm35166";"Gm35166"
"Atg14";"Atg14"
"Gm49004";"Gm49004"
"Ktn1";"Ktn1"
"4930447J18Rik";"4930447J18Rik"
"Peli2";"Peli2"
"Tmem260";"Tmem260"
"Gm49519";"Gm49519"
"4930572G02Rik";"4930572G02Rik"
"Otx2os1";"Otx2os1"
"Exoc5";"Exoc5"
"Ap5m1";"Ap5m1"
"Naa30";"Naa30"
"Slc35f4";"Slc35f4"
"Armh4";"Armh4"
"Tlr11";"Tlr11"
"Ttc5";"Ttc5"
"Ccnb1ip1";"Ccnb1ip1"
"Parp2";"Parp2"
"Tep1";"Tep1"
"Gm26782";"Gm26782"
"Klhl33";"Klhl33"
"Osgep";"Osgep"
"Apex1";"Apex1"
"Pip4p1";"Pip4p1"
"Pnp";"Pnp"
"Pnp2";"Pnp2"
"Rnase10";"Rnase10"
"Rnase12";"Rnase12"
"Olfr750";"Olfr750"
"Rnase4";"Rnase4"
"Ang";"Ang"
"Rnase6";"Rnase6"
"Gm7247";"Gm7247"
"Mettl17";"Mettl17"
"Slc39a2";"Slc39a2"
"Ndrg2";"Ndrg2"
"Arhgef40";"Arhgef40"
"Gm16617";"Gm16617"
"Zfp219";"Zfp219"
"Tmem253";"Tmem253"
"Gm49086";"Gm49086"
"Hnrnpc";"Hnrnpc"
"Rpgrip1";"Rpgrip1"
"Supt16";"Supt16"
"Gm26590";"Gm26590"
"Chd8";"Chd8"
"Rab2b";"Rab2b"
"Tox4";"Tox4"
"Mettl3";"Mettl3"
"Sall2";"Sall2"
"Gm43647";"Gm43647"
"Gm43434";"Gm43434"
"Dad1";"Dad1"
"Abhd4";"Abhd4"
"Gm43305";"Gm43305"
"5330426L24Rik";"5330426L24Rik"
"Oxa1l";"Oxa1l"
"Slc7a7";"Slc7a7"
"Mrpl52";"Mrpl52"
"Mmp14";"Mmp14"
"Gm10366";"Gm10366"
"Lrp10";"Lrp10"
"Prmt5";"Prmt5"
"Haus4";"Haus4"
"Ajuba";"Ajuba"
"4931414P19Rik";"4931414P19Rik"
"Psmb5";"Psmb5"
"Cdh24";"Cdh24"
"Gm17606";"Gm17606"
"Acin1";"Acin1"
"4930579G18Rik";"4930579G18Rik"
"1700123O20Rik";"1700123O20Rik"
"Cebpe";"Cebpe"
"Slc7a8";"Slc7a8"
"Homez";"Homez"
"Ppp1r3e";"Ppp1r3e"
"Bcl2l2";"Bcl2l2"
"Pabpn1";"Pabpn1"
"Slc22a17";"Slc22a17"
"Cmtm5";"Cmtm5"
"Ngdn";"Ngdn"
"Zfhx2os";"Zfhx2os"
"Zfhx2";"Zfhx2"
"Thtpa";"Thtpa"
"Ap1g2";"Ap1g2"
"Jph4";"Jph4"
"Dhrs4";"Dhrs4"
"Carmil3";"Carmil3"
"Pck2";"Pck2"
"A730061H03Rik";"A730061H03Rik"
"Dcaf11";"Dcaf11"
"Gm15932";"Gm15932"
"Fitm1";"Fitm1"
"Psme1";"Psme1"
"Emc9";"Emc9"
"Psme2";"Psme2"
"Rnf31";"Rnf31"
"Irf9";"Irf9"
"Rec8";"Rec8"
"Ipo4";"Ipo4"
"Tm9sf1";"Tm9sf1"
"Gm49747";"Gm49747"
"Tssk4";"Tssk4"
"Mdp1";"Mdp1"
"Nedd8";"Nedd8"
"Gmpr2";"Gmpr2"
"Tinf2";"Tinf2"
"Gm49067";"Gm49067"
"Tgm1";"Tgm1"
"Rabggta";"Rabggta"
"Dhrs1";"Dhrs1"
"Nop9";"Nop9"
"Cideb";"Cideb"
"Ltb4r2";"Ltb4r2"
"Ltb4r1";"Ltb4r1"
"Adcy4";"Adcy4"
"Ripk3";"Ripk3"
"Nynrin";"Nynrin"
"Khnyn";"Khnyn"
"Sdr39u1";"Sdr39u1"
"Gm4022";"Gm4022"
"Rnf17";"Rnf17"
"Cenpj";"Cenpj"
"Parp4";"Parp4"
"Gm16573";"Gm16573"
"Mphosph8";"Mphosph8"
"Gm16973";"Gm16973"
"Pspc1";"Pspc1"
"Zmym5";"Zmym5"
"2410022M11Rik";"2410022M11Rik"
"Zmym2";"Zmym2"
"Cryl1";"Cryl1"
"Ift88";"Ift88"
"Il17d";"Il17d"
"Eef1akmt1";"Eef1akmt1"
"Xpo4";"Xpo4"
"Lats2";"Lats2"
"Sap18";"Sap18"
"Ska3";"Ska3"
"Mrpl57";"Mrpl57"
"Zdhhc20";"Zdhhc20"
"Micu2";"Micu2"
"3110083C13Rik";"3110083C13Rik"
"Fgf9";"Fgf9"
"Gm33321";"Gm33321"
"Rcbtb1";"Rcbtb1"
"Phf11a";"Phf11a"
"Phf11b";"Phf11b"
"Phf11d";"Phf11d"
"Phf11c";"Phf11c"
"Setdb2";"Setdb2"
"Cab39l";"Cab39l"
"Cdadc1";"Cdadc1"
"Atp8a2";"Atp8a2"
"4930563I02Rik";"4930563I02Rik"
"Gm49336";"Gm49336"
"Mtmr6";"Mtmr6"
"Amer2";"Amer2"
"Gm29266";"Gm29266"
"Spata13";"Spata13"
"C1qtnf9";"C1qtnf9"
"Mipep";"Mipep"
"Tnfrsf19";"Tnfrsf19"
"Sacs";"Sacs"
"1700109G14Rik";"1700109G14Rik"
"Arl11";"Arl11"
"Ebpl";"Ebpl"
"Kpna3";"Kpna3"
"4930556J02Rik";"4930556J02Rik"
"Spryd7";"Spryd7"
"Trim13";"Trim13"
"Dleu2";"Dleu2"
"Kcnrg";"Kcnrg"
"Gm27010";"Gm27010"
"Gm26916";"Gm26916"
"Gm27017";"Gm27017"
"Dleu7";"Dleu7"
"Rnaseh2b";"Rnaseh2b"
"Serpine3";"Serpine3"
"Ints6";"Ints6"
"Wdfy2";"Wdfy2"
"Defb30";"Defb30"
"Defb42";"Defb42"
"Ctsb";"Ctsb"
"Fdft1";"Fdft1"
"Neil2";"Neil2"
"Gata4";"Gata4"
"Blk";"Blk"
"Fam167a";"Fam167a"
"Mtmr9";"Mtmr9"
"Gm15918";"Gm15918"
"Xkr6";"Xkr6"
"Pinx1";"Pinx1"
"Sox7";"Sox7"
"9630015K15Rik";"9630015K15Rik"
"Msra";"Msra"
"Kif13b";"Kif13b"
"Hmbox1";"Hmbox1"
"Ints9";"Ints9"
"Extl3";"Extl3"
"Fzd3";"Fzd3"
"Gm48433";"Gm48433"
"Gm48449";"Gm48449"
"Zfp395";"Zfp395"
"Elp3";"Elp3"
"Pbk";"Pbk"
"Esco2";"Esco2"
"Ccdc25";"Ccdc25"
"Clu";"Clu"
"Gulo";"Gulo"
"Ephx2";"Ephx2"
"Ptk2b";"Ptk2b"
"1700001G11Rik";"1700001G11Rik"
"Trim35";"Trim35"
"Stmn4";"Stmn4"
"Adra1a";"Adra1a"
"Dpysl2";"Dpysl2"
"Gm5464";"Gm5464"
"Pnma2";"Pnma2"
"Bnip3l";"Bnip3l"
"Ppp2r2a";"Ppp2r2a"
"Cdca2";"Cdca2"
"Kctd9";"Kctd9"
"Gnrh1";"Gnrh1"
"Dock5";"Dock5"
"Adam28";"Adam28"
"Slc25a37";"Slc25a37"
"Gm27222";"Gm27222"
"Gm16867";"Gm16867"
"Gm27177";"Gm27177"
"Loxl2";"Loxl2"
"R3hcc1";"R3hcc1"
"Chmp7";"Chmp7"
"Tnfrsf10b";"Tnfrsf10b"
"Rhobtb2";"Rhobtb2"
"Pebp4";"Pebp4"
"Gm33524";"Gm33524"
"Egr3";"Egr3"
"Bin3";"Bin3"
"Ccar2";"Ccar2"
"9930012K11Rik";"9930012K11Rik"
"Pdlim2";"Pdlim2"
"Sorbs3";"Sorbs3"
"Gm49417";"Gm49417"
"Ppp3cc";"Ppp3cc"
"Slc39a14";"Slc39a14"
"Piwil2";"Piwil2"
"Polr3d";"Polr3d"
"Bmp1";"Bmp1"
"Reep4";"Reep4"
"Nudt18";"Nudt18"
"Fam160b2";"Fam160b2"
"Dmtn";"Dmtn"
"Npm2";"Npm2"
"Xpo7";"Xpo7"
"Dok2";"Dok2"
"Gfra2";"Gfra2"
"Fndc3a";"Fndc3a"
"Gm16549";"Gm16549"
"Gm41206";"Gm41206"
"Cysltr2";"Cysltr2"
"Rcbtb2";"Rcbtb2"
"Gm17233";"Gm17233"
"Rb1";"Rb1"
"Lpar6";"Lpar6"
"Itm2b";"Itm2b"
"Med4";"Med4"
"Nudt15";"Nudt15"
"Sucla2";"Sucla2"
"Gm49164";"Gm49164"
"Gm49171";"Gm49171"
"Gm49175";"Gm49175"
"Htr2a";"Htr2a"
"Esd";"Esd"
"Lrch1";"Lrch1"
"Gm10847";"Gm10847"
"Gm4278";"Gm4278"
"Rubcnl";"Rubcnl"
"Lrrc63";"Lrrc63"
"Lcp1";"Lcp1"
"Zc3h13";"Zc3h13"
"Cog3";"Cog3"
"Slc25a30";"Slc25a30"
"Gm4285";"Gm4285"
"Tpt1";"Tpt1"
"Gtf2f2";"Gtf2f2"
"Kctd4";"Kctd4"
"Gpalpp1";"Gpalpp1"
"Nufip1";"Nufip1"
"Tsc22d1";"Tsc22d1"
"Serp2";"Serp2"
"4930431P22Rik";"4930431P22Rik"
"Lacc1";"Lacc1"
"Ccdc122";"Ccdc122"
"Enox1";"Enox1"
"Gm49003";"Gm49003"
"Dnajc15";"Dnajc15"
"Epsti1";"Epsti1"
"Akap11";"Akap11"
"Dgkh";"Dgkh"
"Vwa8";"Vwa8"
"Gm49016";"Gm49016"
"Gm4632";"Gm4632"
"Rgcc";"Rgcc"
"Naa16";"Naa16"
"Mtrf1";"Mtrf1"
"Kbtbd7";"Kbtbd7"
"Kbtbd6";"Kbtbd6"
"Wbp4";"Wbp4"
"Elf1";"Elf1"
"Sugt1";"Sugt1"
"Cnmd";"Cnmd"
"Olfm4";"Olfm4"
"Pcdh17";"Pcdh17"
"Diaph3";"Diaph3"
"Tdrd3";"Tdrd3"
"Pcdh9";"Pcdh9"
"Klhl1";"Klhl1"
"Dach1";"Dach1"
"Rpl36a-ps1";"Rpl36a-ps1"
"Mzt1";"Mzt1"
"Bora";"Bora"
"Dis3";"Dis3"
"Pibf1";"Pibf1"
"Klf12";"Klf12"
"4930517O19Rik";"4930517O19Rik"
"Gm41231";"Gm41231"
"Tbc1d4";"Tbc1d4"
"Commd6";"Commd6"
"Uchl3";"Uchl3"
"Lmo7";"Lmo7"
"Gm34589";"Gm34589"
"Kctd12";"Kctd12"
"4933432I03Rik";"4933432I03Rik"
"Gm34643";"Gm34643"
"Acod1";"Acod1"
"Cln5";"Cln5"
"Fbxl3";"Fbxl3"
"Mycbp2";"Mycbp2"
"1700087I21Rik";"1700087I21Rik"
"Gm34907";"Gm34907"
"Scel";"Scel"
"Slain1";"Slain1"
"Ednrb";"Ednrb"
"Rnf219";"Rnf219"
"D130009I18Rik";"D130009I18Rik"
"Rbm26";"Rbm26"
"Gm17066";"Gm17066"
"Ndfip2";"Ndfip2"
"Gm10076";"Gm10076"
"Spry2";"Spry2"
"Tpm3-rs7";"Tpm3-rs7"
"Gm49010";"Gm49010"
"Mir17hg";"Mir17hg"
"Gpc5";"Gpc5"
"Gpc6";"Gpc6"
"Tgds";"Tgds"
"Gpr180";"Gpr180"
"Abcc4";"Abcc4"
"Dzip1";"Dzip1"
"Gm49179";"Gm49179"
"Dnajc3";"Dnajc3"
"Gm49768";"Gm49768"
"Uggt2";"Uggt2"
"Gm16835";"Gm16835"
"Hs6st3";"Hs6st3"
"Mbnl2";"Mbnl2"
"Gm26679";"Gm26679"
"Rap2a";"Rap2a"
"Ipo5";"Ipo5"
"Farp1";"Farp1"
"B930095G15Rik";"B930095G15Rik"
