"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Gm17068";100,825672196556;0,335528450721348;0,296099401292114;0,00402117789407764;0,327557368326608
"Zfp407";1098,24634206023;0,164408328112922;0,116321151169686;0,00405345398845006;0,328069936270324
"Cenpa";195,819547320852;0,25294331732896;0,213738561923416;0,00411260882498553;0,330737573402976
"Gm15368";24,8866811487515;0,561405955668536;0,564344539034191;0,00421044182509685;0,336252026668084
"Ash1l";3236,23073539633;0,164924217575904;0,119045354993726;0,00423504566559692;0,336252026668084
"Trim65";997,843521786359;-0,149190985395325;0,106211580004561;0,00426107431228366;0,336252026668084
"Rpl9.ps1";29,1579952264988;0,536837101111814;0,563442727024538;0,00432695719054182;0,337671568970841
"Ttll5";356,747821896455;0,17980152644459;0,140045003384516;0,00435929556013363;0,337671568970841
"Ly6g";21,8931614689471;-0,00405933126549457;0,0318314430724107;0,00434733181296806;0,337671568970841
"Gm25360";27,4156637474872;-0,0100156176821679;0,0337011989982764;0,00461488016213268;0,340745479105773
"Chst1";1526,64315301813;-0,0167744117539581;0,0379735010141672;0,00448678816548559;0,340745479105773
"Adam33";130,680902654869;0,324542674089786;0,341782117854914;0,00455474467478698;0,340745479105773
"Sec16a";3470,61374127109;0,124032093994729;0,0804042590473894;0,00456305323267474;0,340745479105773
"Vps13d";4553,28870458354;0,170744799795548;0,125772320612751;0,004542564983979;0,340745479105773
"Rassf4";3448,86207573428;0,139443525059972;0,0954427533745144;0,00451188446910409;0,340745479105773
"Egr3";391,141612130857;0,377482730618865;0,397073881896709;0,00450329218132536;0,340745479105773
"Aoah";126,466817661238;0,428900026478804;0,496090892446423;0,00459586975461899;0,340745479105773
"Tmem185b";738,734400027416;-0,143557835962317;0,103466515522585;0,0047428913757161;0,343739993938748
"Prr14l";1695,29524717298;0,169899315045533;0,136452062457577;0,00479968508824403;0,343739993938748
"Itpr1";668,298796406615;0,166988587839344;0,134381256308221;0,0048107819963068;0,343739993938748
"Ctu1";212,290517930809;-0,0249272614321744;0,0468964560106173;0,00481878496175815;0,343739993938748
"S1pr2";181,491326694788;0,247179586951366;0,246827429879907;0,00471231031649691;0,343739993938748
"Ago2";2412,64028532561;0,156484354060202;0,118245864906421;0,00469887466538773;0,343739993938748
"Ckap2l";77,1371642325833;0,400153476988175;0,551034724194001;0,00488540406771176;0,344068503297249
"Cdk5rap2";662,172364820232;0,146747499551692;0,114819066129775;0,00509809254659522;0,344068503297249
"Prkag2";452,467556387197;0,185438604829185;0,172685089666816;0,00508456309506247;0,344068503297249
"Zfp512";800,246828169942;0,167682855450947;0,139048685964495;0,00498457611243594;0,344068503297249
"Utrn";864,567183650791;0,208643013128006;0,201469018629187;0,0050001451089406;0,344068503297249
"Capns2";244,347531553962;0,309820963193752;0,414295919678404;0,00510550657850412;0,344068503297249
"Atg14";616,414565335892;-0,159528518042124;0,131732583750728;0,00491548850110357;0,344068503297249
"Msl1";2413,32453175842;-0,136303798510367;0,104763204011784;0,00512314894819285;0,344068503297249
"Rnf213";6785,64336630108;0,227848577665767;0,228284993214643;0,00506420519098112;0,344068503297249
